region,avg_price,median_price,hourly_wage,avg_hours,price_std,n_platforms,Cluster,PCA1,PCA2
Myanmar,8.74,8.99,0.65,13.445,3.2729645558359945,2,2,0.27001859110348836,-1.5354422232133202
Namibia,6.544334365325078,6.99,2.12,3.0870433436532507,2.063534584784113,3,2,-0.3913513766345725,-1.039337653115247
Nepal,7.54,6.890000000000001,0.7,10.77,3.187713080431332,3,2,0.10765297731190952,-1.7921416125906944
Netherlands,19.112461538461538,20.68,32.46,0.5889538461538462,5.770251516537437,2,0,0.3330652534682973,1.634884939033235
New Zealand,26.851111111111113,28.99,23.66,1.1374074074074074,6.634007983075136,2,0,0.84448821065153,1.1875268661352707
Nicaragua,7.323333333333334,6.99,1.37,5.343333333333334,2.0579830217101076,1,1,-0.39603208291765946,-0.3306556860691022
Nigeria,12.99,12.99,0.52,24.98,0.0,1,1,0.8075566055081197,-2.064764227194915
North Macedonia,12.99,12.99,4.47,2.91,0.0,1,1,-0.35047294188669603,0.1302862747853623
Norway,13.785,12.754999999999999,41.72,0.33,3.4520152492047975,2,0,-0.1861939743555838,2.0900064495983575
Oman,9.777306501547988,8.940000000000001,9.75,1.0037461300309596,2.93993511327244,3,2,-0.3100710542515698,-0.3674886764670738
Pakistan,12.99,12.99,0.71,18.3,0.0,1,1,0.45733639306051793,-1.4590932763855464
Panama,9.99,9.99,9.21,1.0833333333333333,3.271038123054632,1,1,-0.3927208325682154,0.5539526238536912
Paraguay,5.99,5.99,3.08,1.9433333333333334,1.635519061527316,1,1,-0.6635167807887871,0.05304205117697636
Philippines,4.04,4.09,1.92,2.102,1.720861414356527,2,2,-0.6795126395177766,-0.5283995089252836
Poland,9.51,9.51,12.07,0.79,0.0,1,1,-0.6473629678123288,0.7157271557703417
Portugal,14.353333333333335,13.78,14.08,1.02,2.6158251425641175,2,2,-0.1542332528620119,0.4194290720605917
Puerto Rico,17.24,16.49,18.92,0.9149999999999999,6.87728025884511,2,0,0.2640376500134946,0.781427134842802
Qatar,12.99,11.99,36.87,0.35333333333333333,3.7474449499960323,1,0,-0.2767931709370136,2.2707405937148586
Romania,12.99,12.99,9.65,1.35,0.0,1,1,-0.4337135274155622,0.5715876522123358
Rwanda,8.74,8.99,0.48,18.2075,3.2729645558359945,2,2,0.519717546673484,-1.969271473574237
Saudi Arabia,8.0,8.0,16.89,0.47,0.0,1,1,-0.7451704738704161,1.0052431922557208
Senegal,7.54,6.890000000000001,0.85,8.868333333333334,3.187713080431332,3,2,0.007924934845986924,-1.6141188208901298
Serbia,9.096,9.76,6.58,1.3800000000000001,3.3947732825734054,2,2,-0.32608260628770946,-0.10654760100598239
Seychelles,8.656666666666668,8.74,8.59,1.0050000000000001,2.735648232491155,3,2,-0.35697422743984547,-0.44527055045444197
Singapore,17.313333333333336,16.98,43.59,0.3966666666666667,2.8718770897404116,2,0,-0.015844396202925385,2.241613650572931
Slovakia,13.416666666666666,13.78,12.5,1.0733333333333335,1.4580524777468662,2,2,-0.25026958602802585,0.30785047692190987
Slovenia,13.610000000000001,14.36,16.49,0.8266666666666665,1.5303031934153077,2,2,-0.23886144866153566,0.5687662828268677
