Actual,Predicted
8.99,8.99
7.46,7.46
6.99,6.99
5.79,5.79
14.99,14.99
3.99,3.99
11.99,11.99
5.99,5.99
20.99,20.99
9.99,9.99
8.99,8.99
5.79,5.79
12.99,12.99
7.49,7.49
7.99,7.99
4.09,4.09
6.99,6.99
26.99,26.99
3.99,3.99
11.99,11.99
3.99,3.99
6.99,6.99
10.99,10.99
14.99,14.99
22.98,22.98
20.99,20.99
3.99,3.99
11.48,11.48
8.99,8.99
3.99,3.99
7.99,7.99
12.99,12.99
9.99,9.99
5.79,5.79
3.99,3.99
26.99,26.574
6.99,6.99
7.49,7.49
6.39,6.39
3.99,3.99
13.98,13.98
9.99,9.99
19.99,19.99
9.99,9.99
6.99,6.99
15.79,15.79
11.99,11.99
19.99,19.99
8.99,8.99
4.2,4.2
12.99,12.99
12.99,12.99
7.99,7.99
9.49,9.49
6.99,6.99
11.99,11.99
12.99,12.99
7.99,7.99
9.49,9.49
26.43,26.226
4.49,4.49
11.48,11.48
19.53,19.53
9.99,9.99
12.99,12.99
29.32,29.32
3.99,3.99
12.99,12.99
9.99,9.99
3.99,3.99
3.99,3.99
11.99,11.99
6.99,6.99
13.78,13.78
4.49,4.49
27.99,27.99
27.99,27.99
10.49,10.49
14.99,14.99
11.46,11.46
7.99,7.99
14.99,14.99
24.5,24.5
3.99,3.99
6.99,6.99
3.99,3.99
4.99,4.99
3.99,3.99
10.99,10.99
15.29,15.29
6.99,6.99
19.99,19.99
7.99,7.99
12.99,12.99
21.99,21.99
10.59,10.59
13.8,13.8
11.48,11.48
9.99,9.99
20.99,20.99
6.99,6.99
5.99,5.99
7.49,7.49
9.49,9.49
20.68,20.68
7.99,7.99
12.99,12.99
6.99,6.99
3.99,3.99
9.99,9.99
14.99,14.99
16.98,16.98
24.13,24.13
3.23,3.23
269.0,269.0
4.49,4.49
11.99,11.99
7.99,7.99
7.63,7.63
7.99,7.99
8.99,8.99
7.99,7.99
7.99,7.99
9.49,9.49
6.99,6.99
12.99,12.99
9.99,9.99
24.13,24.13
17.99,17.99
8.99,8.99
7.99,7.99
3.99,3.99
15.49,15.49
9.51,9.51
11.48,11.48
139.0,139.0
12.99,12.99
3.99,3.99
14.99,14.99
3.99,3.99
12.99,12.99
7.99,7.99
9.99,9.99
26.99,26.99
12.99,12.99
7.99,7.99
6.99,6.99
12.99,12.99
9.99,9.99
9.49,9.49
10.99,10.99
3.99,3.99
6.99,6.99
6.99,6.99
3.99,3.99
29.32,29.32
